Month	Outflow Coefficients	Ratio of OC	K	C	LUM	LLM	CG	CI	CS	Lag Time	CS-HM	Lag Time-HM	Kech	Kes	Kei	Keg	Xech	Xes	Xei	Xeg	Ki_tmp	KLWL
1	1.8	1	0.6	0.01	0.1	0.5	0.998	0.95	0.1	1	0	0	0.2	0.2	0.5	0.6	0.3	0.2	0.1	0.02	0.5	1
2	1.8	1	0.6	0.01	0.1	0.5	0.996	0.94	0.1	1	0	0	0.2	0.2	0.5	0.6	0.3	0.2	0.1	0.02	0.5	2
3	1.8	1	0.6	0.01	0.1	0.5	0.996	0.91	0.1	1	0	0	0.08	0.2	0.5	0.6	0.3	0.2	0.1	0.02	0.5	2
4	1.8	1	0.6	0.01	0.1	0.5	0.995	0.91	0.1	1	0	0	0.04	0.1	0.5	0.6	0.3	0.2	0.1	0.02	0.5	10
5	1.8	1	1.1	0.01	0.1	0.5	0.995	0.91	0.5	1	0	0	0.04	0.08	0.5	0.6	0.3	0.2	0.1	0.02	0.5	10
6	1.8	1	1.3	0.01	0.1	0.5	0.995	0.91	0.7	1	0	0	0.06	0.08	0.5	0.6	0.3	0.2	0.1	0.02	0.5	8
7	1.8	1	1.1	0.01	0.1	0.5	0.994	0.91	0.15	1	0	0	0.03	0.08	0.5	0.6	0.3	0.2	0.1	0.02	0.5	2
8	1.8	1	0.8	0.01	0.1	0.5	0.992	0.91	0.3	1	0	0	0.08	0.08	0.5	0.6	0.3	0.2	0.1	0.02	0.5	3
9	1.8	1	1.55	0.01	0.1	0.5	0.994	0.91	0.9	1	0	0	0.04	0.15	0.5	0.6	0.3	0.2	0.1	0.02	0.5	2
10	1.8	1	0.8	0.01	0.1	0.5	0.994	0.91	0.6	1	0	0	0.1	0.1	0.5	0.6	0.3	0.2	0.1	0.02	0.5	2
11	1.8	1	0.8	0.01	0.1	0.5	0.995	0.94	0.5	1	0	0	0.1	0.2	0.5	0.6	0.3	0.2	0.1	0.02	0.5	2
12	1.8	1	0.8	0.01	0.1	0.5	0.998	0.95	0.1	1	0	0	0.2	0.2	0.5	0.6	0.3	0.2	0.1	0.02	0.5	1











