Category	Shortening	SWC	FC	WP	RWC	SHC (cm/h)	¦Ë
0	Ocean	0.001	0	0	0	0	0
1	S	0.3825	0.15	0.04	0.03475	42.23	0.836
2	LS	0.41	0.19	0.05	0.046	31.185	0.691
3	SL	0.4225	0.27	0.09	0.06725	7.535	0.547
4	SiL	0.4725	0.35	0.15	0.0365	1.635	0.321
5	Si	0.48	0.34	0.11	0.04	2	0.3
6	L	0.44	0.3	0.14	0.06	1.91	0.368
7	SCL	0.425	0.29	0.16	0.11225	3.285	0.402
8	SiCL	0.465	0.41	0.24	0.09325	0.38	0.237
9	CL	0.4525	0.36	0.21	0.1155	0.555	0.308
10	SC	0.42	0.33	0.21	0.109	0.45	0.223
11	SiC	0.4525	0.43	0.28	0.1085	0.23	0.208
12	C	0.4525	0.4	0.28	0.1405	0.26	0.219
