Date,Obs,Sim,,
2014/1/1,81.3,132.2744,,
2014/1/2,79.5,131.3278,,
2014/1/3,77.4,130.2444,,
2014/1/4,75.1,129.3834,,
2014/1/5,72.9,128.3833,,
2014/1/6,73.3,127.5607,,
2014/1/7,73.3,126.6902,,
2014/1/8,77.7,125.8454,,
2014/1/9,76.4,125.134,,
2014/1/10,73.6,124.2579,,
2014/1/11,71.9,123.6643,,
2014/1/12,74.6,122.8193,,
2014/1/13,72.8,122.2506,,
2014/1/14,70.7,121.5211,,
2014/1/15,69.6,120.9001,,
2014/1/16,72.0,120.3224,,
2014/1/17,71.7,119.6421,,
2014/1/18,70.7,119.1774,,
2014/1/19,68.9,118.4969,,
2014/1/20,70.2,118.0648,,
2014/1/21,68.1,117.4564,,
2014/1/22,69.3,116.9918,,
2014/1/23,69.4,116.4899,,
2014/1/24,69.8,115.9812,,
2014/1/25,72.7,115.5636,,
2014/1/26,73.3,115.0484,,
2014/1/27,71.6,114.6614,,
2014/1/28,69.1,114.1886,,
2014/1/29,72.0,113.7867,,
2014/1/30,69.9,113.3829,,
2014/1/31,66.9,112.9538,,
2014/2/1,65.1,112.6086,,
2014/2/2,64.2,112.1737,,
2014/2/3,63.1,111.8517,,
2014/2/4,60.4,111.4464,,
2014/2/5,62.8,111.121,,
2014/2/6,64.7,110.7654,,
2014/2/7,67.3,110.3966,,
2014/2/8,70.2,110.1023,,
2014/2/9,72.2,109.7171,,
2014/2/10,70.9,109.4592,,
2014/2/11,68.8,109.0708,,
2014/2/12,67.0,108.831,,
2014/2/13,68.5,108.4539,,
2014/2/14,70.6,108.2191,,
2014/2/15,73.0,107.8618,,
2014/2/16,69.7,107.6215,,
2014/2/17,67.9,107.2932,,
2014/2/18,69.2,107.0353,,
2014/2/19,67.7,106.7499,,
2014/2/20,68.6,106.4563,,
2014/2/21,68.8,106.2296,,
2014/2/22,67.7,105.8864,,
2014/2/23,67.1,105.7234,,
2014/2/24,65.8,105.336,,
2014/2/25,68.2,105.2177,,
2014/2/26,69.4,104.8173,,
2014/2/27,69.7,104.7029,,
2014/2/28,68.0,104.3391,,
2014/3/1,71.0,103.8795,,
2014/3/2,70.0,103.3397,,
2014/3/3,70.0,103.0722,,
2014/3/4,65.5,102.8173,,
2014/3/5,63.3,102.6302,,
2014/3/6,66.6,102.3824,,
2014/3/7,66.9,102.1249,,
2014/3/8,70.7,101.9482,,
2014/3/9,67.3,101.6573,,
2014/3/10,66.7,101.5059,,
2014/3/11,66.8,101.1932,,
2014/3/12,70.1,101.0779,,
2014/3/13,69.8,100.7325,,
2014/3/14,70.4,100.6506,,
2014/3/15,71.1,100.2861,,
2014/3/16,75.7,100.2203,,
2014/3/17,76.6,100.0852,,
2014/3/18,80.9,100.7143,,
2014/3/19,83.3,101.2544,,
2014/3/20,84.7,101.2896,,
2014/3/21,89.2,100.6151,,
2014/3/22,87.9,100.7077,,
2014/3/23,91.7,100.2486,,
2014/3/24,94.7,99.9857,,
2014/3/25,97.3,99.7467,,
2014/3/26,99.5,99.4397,,
2014/3/27,98.7,99.1507,,
2014/3/28,102,98.9392,,
2014/3/29,99.9,98.6736,,
2014/3/30,105,98.4855,,
2014/3/31,109,98.0991,,
2014/4/1,111,97.8605,,
2014/4/2,114,97.5279,,
2014/4/3,119,97.4139,,
2014/4/4,122,97.3199,,
2014/4/5,123,96.7448,,
2014/4/6,124,97.2883,,
2014/4/7,133,100.2538,,
2014/4/8,139,102.4786,,
2014/4/9,151,104.8487,,
2014/4/10,177,107.3947,,
2014/4/11,182,107.9869,,
2014/4/12,186,108.9771,,
2014/4/13,192,108.1173,,
2014/4/14,178,108.0631,,
2014/4/15,179,107.0897,,
2014/4/16,177,106.6308,,
2014/4/17,164,105.7989,,
2014/4/18,160,105.2764,,
2014/4/19,156,105.2041,,
2014/4/20,152,107.9477,,
2014/4/21,149,115.5509,,
2014/4/22,148,124.7425,,
2014/4/23,159,132.1699,,
2014/4/24,170,139.7664,,
2014/4/25,169,145.3537,,
2014/4/26,167,144.0692,,
2014/4/27,172,142.5737,,
2014/4/28,187,147.0248,,
2014/4/29,187,147.0459,,
2014/4/30,190,151.2973,,
2014/5/1,208,158.7643,,
2014/5/2,218,170.8718,,
2014/5/3,225,186.5268,,
2014/5/4,231,199.9847,,
2014/5/5,235,214.0081,,
2014/5/6,251,227.2946,,
2014/5/7,242,241.9959,,
2014/5/8,257,260.9333,,
2014/5/9,256,277.8926,,
2014/5/10,260,294.5402,,
2014/5/11,246,305.2375,,
2014/5/12,232,307.6382,,
2014/5/13,218,315.6884,,
2014/5/14,227,332.4009,,
2014/5/15,249,346.5643,,
2014/5/16,265,354.3271,,
2014/5/17,235,355.7476,,
2014/5/18,220,355.1216,,
2014/5/19,210,358.4431,,
2014/5/20,208,368.1261,,
2014/5/21,207,382.1866,,
